region,gender,education,policy_type,vehicle_class,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,total_claim_amount
151,east,m,master,personal auto,four-door car,2541,42557,65,0.0,58
152,central,m,high school or below,personal auto,suv,4885,26372,126,0.0,605
153,central,f,bachelor,personal auto,suv,9753,17514,127,0.0,8
154,west,f,bachelor,personal auto,four-door car,2946,89270,74,0.0,317
155,west,m,high school or below,personal auto,four-door car,2581,29757,65,0.0,312
156,northeast,m,college,personal auto,four-door car,3517,51814,92,0.0,56
157,northeast,f,bachelor,personal auto,four-door car,9743,24028,82,0.0,394
158,central,m,college,personal auto,sports car,3874,28142,105,0.0,702
160,west,m,high school or below,corporate auto,two-door car,2288,37707,63,0.0,679
161,east,f,high school or below,personal auto,suv,8256,54040,103,0.0,60
162,west,f,college,personal auto,suv,8715,37707,118,0.0,566
163,east,f,doctor,personal auto,two-door car,6819,22492,85,0.0,62
165,northeast,m,master,personal auto,four-door car,7771,21876,68,0.0,465
170,west,m,college,personal auto,four-door car,2413,27501,63,0.0,542
171,northeast,f,doctor,personal auto,four-door car,15364,15897,101,0.0,303
174,west,m,high school or below,personal auto,four-door car,5780,51066,74,0.0,788
175,west,f,bachelor,personal auto,sports car,4640,28358,117,0.0,84
176,east,f,doctor,personal auto,four-door car,3824,62530,95,0.0,62
177,central,f,bachelor,personal auto,two-door car,5968,90972,74,0.0,233
178,east,f,bachelor,personal auto,four-door car,8590,63110,72,0.0,68
179,west,f,bachelor,personal auto,sports car,4077,29549,104,0.0,710
182,northeast,m,high school or below,personal auto,four-door car,4892,21709,62,0.0,408
183,central,m,bachelor,personal auto,four-door car,9942,67890,85,0.0,408
184,west,m,bachelor,personal auto,suv,3736,37707,110,0.0,792
186,west,f,college,corporate auto,suv,4575,99316,114,0.0,754
187,central,f,bachelor,personal auto,suv,5470,54507,138,0.0,703
188,west,f,bachelor,personal auto,four-door car,2979,64586,76,0.0,207
191,west,f,high school or below,special auto,two-door car,2384,37707,69,0.0,497
194,central,f,high school or below,personal auto,four-door car,6889,37707,63,0.0,302
195,east,f,bachelor,personal auto,four-door car,3274,31686,81,0.0,431
200,west,f,master,personal auto,suv,11140,27679,150,0.0,722
202,central,f,high school or below,corporate auto,four-door car,2800,65351,69,0.0,481
203,west,m,college,personal auto,suv,7923,37707,113,0.0,1124
205,west,m,college,personal auto,suv,12067,37707,116,0.0,1284
206,west,f,college,personal auto,four-door car,2925,64459,72,0.0,240
208,northeast,f,high school or below,corporate auto,suv,9277,71416,116,0.0,557
209,east,f,bachelor,personal auto,four-door car,6274,68964,78,0.0,115
210,west,m,high school or below,personal auto,two-door car,3887,78108,98,0.0,470
211,west,m,college,special auto,four-door car,4386,10621,67,0.0,322
212,east,m,college,corporate auto,two-door car,11365,84910,95,0.0,383
213,west,f,high school or below,special auto,four-door car,5611,77493,70,0.0,308
214,central,m,college,personal auto,four-door car,2913,81097,74,0.0,355
215,northeast,f,college,corporate auto,four-door car,6916,96610,85,0.0,520
216,northeast,m,college,corporate auto,sports car,6263,30110,159,0.0,466
217,northeast,f,high school or below,special auto,two-door car,6503,22081,84,0.0,452
218,east,f,high school or below,personal auto,sports car,8007,37707,112,0.0,538
219,west,m,college,personal auto,four-door car,2930,98473,72,0.0,346
220,northeast,f,bachelor,personal auto,four-door car,5970,97431,74,0.0,355
221,west,m,bachelor,personal auto,four-door car,5473,93870,69,0.0,331
222,central,m,high school or below,personal auto,four-door car,5645,50366,72,0.0,429
223,east,m,high school or below,personal auto,two-door car,6369,34498,83,0.0,398
224,northeast,f,college,personal auto,suv,11834,16552,103,0.0,494
225,northeast,f,college,personal auto,four-door car,6121,26787,77,0.0,370
226,central,m,college,personal auto,two-door car,5159,37707,74,0.0,832
227,central,f,high school or below,corporate auto,four-door car,2515,43860,65,0.0,156
229,west,m,bachelor,corporate auto,four-door car,4961,18174,66,0.0,396
230,central,f,bachelor,corporate auto,four-door car,5504,37707,73,0.0,350
231,central,m,college,personal auto,two-door car,7507,60920,64,0.0,231
233,northeast,f,bachelor,personal auto,suv,5657,37707,152,0.0,730
234,central,m,high school or below,personal auto,two-door car,5062,37707,68,0.0,326
235,west,m,bachelor,personal auto,two-door car,5913,72208,73,0.0,350
236,west,f,bachelor,personal auto,four-door car,15182,53863,63,0.0,106
237,east,m,college,corporate auto,suv,10747,66446,136,0.0,639
238,east,m,college,personal auto,four-door car,2051,37707,61,0.0,293
240,central,f,high school or below,corporate auto,two-door car,5343,64460,66,0.0,317
241,central,f,college,personal auto,four-door car,8120,46618,67,0.0,99
242,northeast,f,college,corporate auto,four-door car,4605,37707,64,0.0,307
245,west,m,bachelor,corporate auto,two-door car,3211,16269,86,0.0,413
246,central,f,bachelor,personal auto,four-door car,5095,72006,64,0.0,307
249,west,m,master,personal auto,four-door car,8045,44320,67,0.0,322
250,central,f,high school or below,personal auto,two-door car,4002,19782,108,0.0,773
252,central,m,doctor,personal auto,suv,8544,28224,109,0.0,523
254,northeast,m,bachelor,personal auto,four-door car,6113,63243,77,0.0,364
255,central,m,high school or below,personal auto,suv,4773,20993,133,0.0,638
256,northeast,f,bachelor,personal auto,suv,10979,94827,135,0.0,355
259,northeast,f,bachelor,corporate auto,four-door car,2623,80210,65,0.0,21
261,west,f,college,personal auto,four-door car,5106,30110,64,0.0,140
263,central,m,high school or below,personal auto,four-door car,5457,94731,67,0.0,322
264,west,m,bachelor,personal auto,four-door car,6564,32375,83,0.0,398
265,northeast,m,college,corporate auto,four-door car,4813,16531,63,0.0,103
267,central,f,bachelor,personal auto,two-door car,5774,81676,72,0.0,463
268,west,m,college,corporate auto,four-door car,6847,71038,86,0.0,205
269,central,f,high school or below,corporate auto,sports car,3595,37707,103,0.0,742
271,east,m,high school or below,personal auto,suv,7859,37707,113,0.0,814
272,northeast,m,high school or below,personal auto,four-door car,4116,52405,103,0.0,494
273,central,f,high school or below,personal auto,sports car,5030,37707,133,0.0,796
275,northeast,m,master,special auto,two-door car,5004,25486,65,0.0,72
276,central,m,college,corporate auto,four-door car,8630,24065,111,0.0,533
277,central,f,high school or below,personal auto,four-door car,9322,70435,116,0.0,68
279,northeast,f,high school or below,personal auto,two-door car,3653,39679,92,0.0,641
280,central,m,college,personal auto,four-door car,6159,37707,89,0.0,342
284,east,m,bachelor,personal auto,two-door car,8347,48259,108,0.0,74
285,central,f,high school or below,personal auto,four-door car,6324,78532,78,0.0,374
286,central,f,bachelor,corporate auto,four-door car,5973,96163,73,0.0,350
287,west,m,bachelor,personal auto,four-door car,4707,37707,72,0.0,346
289,east,m,college,personal auto,four-door car,5036,72672,63,0.0,259
291,west,m,high school or below,personal auto,four-door car,7289,79494,91,0.0,396
293,central,f,bachelor,corporate auto,four-door car,4992,37707,71,0.0,653
294,northeast,f,high school or below,personal auto,two-door car,9102,26049,118,0.0,121
295,central,m,doctor,special auto,four-door car,2540,70125,64,0.0,93
298,central,m,college,personal auto,four-door car,5721,41770,72,0.0,476
299,northeast,m,high school or below,corporate auto,four-door car,7036,37707,101,0.0,727
300,west,m,college,personal auto,four-door car,2637,31911,67,0.0,322
301,central,m,bachelor,corporate auto,four-door car,5396,70051,68,0.0,42
304,northeast,f,bachelor,personal auto,four-door car,2888,37707,80,0.0,677
305,east,m,college,personal auto,four-door car,7426,84302,62,0.0,77
307,northeast,m,college,personal auto,suv,10273,60145,132,0.0,580
308,northeast,f,bachelor,personal auto,four-door car,4376,63774,111,0.0,60
309,west,f,bachelor,corporate auto,four-door car,5319,25134,67,0.0,322
311,northeast,f,high school or below,personal auto,suv,4428,58577,110,0.0,304
312,west,m,high school or below,corporate auto,four-door car,5879,85857,73,0.0,101
313,northeast,f,doctor,personal auto,suv,9417,70602,116,0.0,481
317,west,f,bachelor,personal auto,two-door car,3903,60068,98,0.0,470
318,west,f,bachelor,personal auto,suv,5457,50044,139,0.0,667
320,central,f,college,corporate auto,suv,4434,50653,110,0.0,263
321,central,f,doctor,personal auto,four-door car,5332,68931,66,0.0,310
323,west,f,college,personal auto,four-door car,5412,37707,73,0.0,365
324,west,m,bachelor,personal auto,four-door car,9587,39266,80,0.0,384
327,central,f,bachelor,corporate auto,four-door car,2567,40864,65,0.0,10
328,northeast,f,college,personal auto,four-door car,2651,39035,68,0.0,245
329,west,m,bachelor,personal auto,two-door car,11264,34923,98,0.0,639
330,west,m,high school or below,personal auto,four-door car,2169,37707,63,0.0,454
331,west,f,high school or below,corporate auto,suv,8611,37707,111,0.0,533
332,west,f,college,personal auto,two-door car,2835,24506,71,0.0,511
333,northeast,m,high school or below,personal auto,four-door car,8930,37707,82,0.0,555
335,central,m,high school or below,personal auto,two-door car,2841,37707,74,0.0,402
336,west,m,college,personal auto,four-door car,8083,53554,67,0.0,327
338,central,f,bachelor,personal auto,four-door car,5116,37707,70,0.0,131
339,west,m,college,personal auto,two-door car,3035,68205,76,0.0,99
342,northeast,m,high school or below,personal auto,four-door car,5122,37707,72,0.0,518
343,west,f,high school or below,personal auto,four-door car,2150,37707,61,0.0,293
344,west,f,high school or below,personal auto,four-door car,5595,74454,71,0.0,341
345,central,f,bachelor,personal auto,four-door car,7563,37707,73,0.0,350
346,northeast,m,high school or below,personal auto,four-door car,5386,29664,71,0.0,341
347,east,f,doctor,corporate auto,four-door car,2678,72450,66,0.0,84
349,northeast,f,college,corporate auto,four-door car,3606,21585,92,0.0,442
352,west,f,high school or below,corporate auto,four-door car,2558,37707,72,0.0,346
355,west,m,high school or below,personal auto,two-door car,2970,46131,74,0.0,355
357,west,f,high school or below,personal auto,suv,5884,37707,161,0.0,1159
358,central,f,college,personal auto,four-door car,5272,96668,66,0.0,317
360,central,m,college,personal auto,four-door car,16314,37707,69,0.0,331
361,central,f,bachelor,personal auto,four-door car,5678,37707,76,0.0,365
362,west,f,bachelor,personal auto,sports car,12101,37707,112,0.0,1252
363,northeast,m,bachelor,personal auto,four-door car,2454,29735,69,0.0,331
364,west,m,high school or below,special auto,four-door car,5076,23082,65,0.0,312
365,central,m,bachelor,corporate auto,four-door car,3215,53984,80,0.0,421
366,west,f,college,personal auto,suv,12275,52135,156,0.0,431
367,west,f,college,corporate auto,four-door car,2722,17576,71,0.0,399
368,northeast,f,bachelor,personal auto,four-door car,2457,29486,62,0.0,8
369,northeast,f,master,corporate auto,four-door car,3555,58557,88,0.0,56
370,west,m,bachelor,personal auto,two-door car,4930,25632,63,0.0,351
371,west,f,high school or below,personal auto,sports car,8036,37707,112,0.0,806
374,northeast,f,master,personal auto,two-door car,5961,47945,74,0.0,128
376,west,f,high school or below,personal auto,suv,3832,15192,100,0.0,480
378,central,f,high school or below,personal auto,two-door car,5285,23422,72,0.0,518
379,west,f,college,corporate auto,four-door car,3097,21604,79,0.0,379
380,central,m,college,personal auto,four-door car,3590,79298,90,0.0,244
381,central,f,bachelor,special auto,four-door car,2582,76731,64,0.0,201
384,east,m,doctor,corporate auto,four-door car,3436,30817,88,0.0,92
386,east,m,bachelor,personal auto,suv,4503,68798,114,0.0,93
387,northeast,m,bachelor,personal auto,four-door car,6183,23712,85,0.0,376
388,west,m,college,personal auto,sports car,3874,28142,105,0.0,702
390,west,m,master,personal auto,four-door car,5553,68197,69,0.0,177
391,west,m,bachelor,corporate auto,four-door car,5011,75248,63,0.0,104
392,west,f,college,personal auto,four-door car,10442,37707,98,0.0,942
394,east,f,master,personal auto,two-door car,5123,89879,63,0.0,94
395,northeast,m,high school or below,corporate auto,four-door car,7484,46998,96,0.0,461
396,northeast,m,bachelor,personal auto,two-door car,2613,57099,67,0.0,68
397,central,f,bachelor,corporate auto,suv,9081,33897,114,0.0,540
398,central,f,high school or below,personal auto,four-door car,13771,59207,116,0.0,557
399,northeast,m,high school or below,personal auto,four-door car,2877,40171,73,0.0,350
400,east,m,doctor,personal auto,four-door car,5409,80192,67,0.0,95
406,northeast,m,high school or below,corporate auto,four-door car,4731,30686,61,0.0,20
411,west,f,college,personal auto,four-door car,5904,97413,73,0.0,269
412,northeast,f,master,corporate auto,four-door car,5596,79189,69,0.0,331
413,west,f,high school or below,personal auto,two-door car,2294,37707,62,0.0,298
414,central,f,college,personal auto,four-door car,6274,18577,86,0.0,413
416,east,m,high school or below,personal auto,two-door car,2657,62777,67,0.0,101
417,northeast,m,bachelor,corporate auto,four-door car,5111,37707,74,0.0,533
419,northeast,m,master,personal auto,suv,4602,84394,114,0.0,691
420,northeast,m,college,personal auto,sports car,9155,37707,127,0.0,805
423,northeast,f,college,personal auto,two-door car,5735,98132,71,0.0,51
424,northeast,f,high school or below,personal auto,four-door car,4178,37707,112,0.0,538
426,central,f,master,personal auto,suv,10364,58327,129,0.0,347
427,northeast,m,master,personal auto,two-door car,7852,25950,66,0.0,272
428,northeast,m,high school or below,corporate auto,suv,4773,20993,133,0.0,638
430,east,m,bachelor,personal auto,two-door car,2875,84768,72,0.0,110
431,east,f,bachelor,personal auto,four-door car,5041,36234,63,0.0,114
432,west,m,college,personal auto,four-door car,4363,58842,110,0.0,528
436,east,m,high school or below,personal auto,two-door car,2472,95697,61,0.0,114
438,central,m,high school or below,personal auto,sports car,9029,65974,113,0.0,235
439,northeast,f,college,personal auto,four-door car,5304,37707,76,0.0,395
441,central,m,high school or below,personal auto,two-door car,5124,37707,74,0.0,773
442,northeast,m,college,personal auto,suv,9492,37707,132,0.0,634
443,northeast,f,high school or below,personal auto,four-door car,8205,37707,73,0.0,350
445,west,f,bachelor,corporate auto,four-door car,4815,25398,64,0.0,307
446,west,m,high school or below,personal auto,four-door car,6277,37707,88,0.0,634
447,west,m,high school or below,special auto,suv,8261,33321,105,0.0,504
448,central,m,bachelor,corporate auto,four-door car,2549,37707,78,0.0,846
450,northeast,f,bachelor,personal auto,sports car,3804,20325,100,0.0,668
451,northeast,m,bachelor,personal auto,suv,8635,13129,117,0.0,701
452,northeast,f,high school or below,personal auto,four-door car,5511,37707,73,0.0,526
453,central,m,master,corporate auto,four-door car,3586,49080,91,0.0,25
454,central,m,college,personal auto,four-door car,4889,42536,63,0.0,375
455,northeast,m,bachelor,corporate auto,four-door car,2757,29926,74,0.0,418
456,central,m,doctor,corporate auto,two-door car,3290,37707,86,0.0,398
457,west,f,bachelor,personal auto,sports car,10937,21450,138,0.0,939
458,west,m,high school or below,corporate auto,four-door car,7376,33345,65,0.0,339
459,west,f,bachelor,corporate auto,two-door car,10111,15752,90,0.0,339
462,central,m,college,personal auto,four-door car,2225,37707,68,0.0,326
463,central,m,doctor,personal auto,sports car,8043,55411,100,0.0,260
464,northeast,m,college,personal auto,four-door car,2554,12459,70,0.0,336
466,west,m,bachelor,corporate auto,four-door car,2431,83140,61,0.0,179
467,northeast,f,bachelor,corporate auto,four-door car,3168,37707,92,0.0,662
468,central,f,bachelor,corporate auto,four-door car,5466,54422,68,0.0,76
469,west,m,college,corporate auto,suv,10358,68309,131,0.0,307
471,central,f,college,special auto,four-door car,2822,38977,70,0.0,139
472,central,m,bachelor,corporate auto,two-door car,7757,37707,111,0.0,607
473,central,m,high school or below,corporate auto,two-door car,4079,37707,114,0.0,631
474,central,f,college,personal auto,four-door car,5956,37707,83,0.0,628
475,northeast,f,bachelor,personal auto,two-door car,14159,83235,70,0.0,336
476,central,m,college,personal auto,two-door car,8487,37707,74,0.0,427
477,central,m,college,personal auto,four-door car,6285,32390,80,0.0,91
478,northeast,f,high school or below,personal auto,two-door car,11473,66538,95,0.0,318
479,east,f,college,personal auto,two-door car,4943,23285,65,0.0,118
481,east,m,master,personal auto,four-door car,2573,21104,66,0.0,118
482,central,f,college,personal auto,four-door car,5381,55350,67,0.0,322
483,west,f,college,personal auto,two-door car,4771,12964,65,0.0,363
485,central,f,college,personal auto,four-door car,5936,37707,84,0.0,980
486,central,f,bachelor,personal auto,four-door car,3571,56168,88,0.0,615
487,west,m,college,personal auto,four-door car,6020,37707,92,0.0,662
488,northeast,m,high school or below,personal auto,two-door car,5427,23105,69,0.0,331
489,northeast,f,master,personal auto,four-door car,2730,36218,68,0.0,145
490,west,f,high school or below,corporate auto,four-door car,4983,52275,62,0.0,374
491,northeast,f,college,personal auto,four-door car,8769,49665,74,0.0,355
492,central,m,high school or below,personal auto,two-door car,4221,32471,110,0.0,528
494,west,f,master,personal auto,four-door car,5887,62773,73,0.0,81
495,west,f,college,personal auto,suv,4701,76694,117,0.0,562
497,central,f,high school or below,personal auto,four-door car,2523,37707,70,0.0,504
499,northeast,m,high school or below,personal auto,suv,12942,77060,106,0.0,469
500,central,f,bachelor,corporate auto,two-door car,3764,92600,94,0.0,842
501,west,m,high school or below,personal auto,four-door car,6890,37707,66,0.0,475
503,central,m,college,personal auto,four-door car,7582,64801,64,0.0,268
504,northeast,f,college,corporate auto,two-door car,8278,45257,103,0.0,494
505,west,m,high school or below,personal auto,four-door car,2576,26854,66,0.0,475
508,central,f,bachelor,personal auto,four-door car,6482,30689,81,0.0,467
509,northeast,m,high school or below,corporate auto,two-door car,2599,29590,66,0.0,468
511,northeast,m,bachelor,personal auto,suv,10443,17269,139,0.0,667
513,west,f,high school or below,corporate auto,suv,8470,37707,113,0.0,620
514,west,f,high school or below,personal auto,four-door car,8279,37707,110,0.0,1003
516,central,f,bachelor,special auto,four-door car,3088,18558,80,0.0,384
517,central,m,bachelor,corporate auto,four-door car,4444,46384,113,0.0,252
518,northeast,f,high school or below,personal auto,two-door car,7984,37707,72,0.0,866
520,west,f,bachelor,corporate auto,suv,15656,71731,130,0.0,600
521,northeast,m,high school or below,corporate auto,four-door car,5780,51066,74,0.0,788
524,central,m,college,personal auto,two-door car,5051,37707,69,0.0,73
526,northeast,m,bachelor,personal auto,two-door car,7269,24445,63,0.0,302
527,northeast,m,college,personal auto,two-door car,2617,72302,66,0.0,317
528,northeast,m,high school or below,personal auto,suv,3738,27208,102,0.0,490
530,central,m,college,corporate auto,four-door car,5454,30855,68,0.0,259
531,central,f,bachelor,personal auto,two-door car,6846,37707,95,0.0,456
532,northeast,m,master,corporate auto,four-door car,6173,99960,76,0.0,365
533,central,f,bachelor,personal auto,four-door car,10346,37707,98,0.0,470
534,central,f,bachelor,personal auto,four-door car,6997,55873,88,0.0,299
535,central,f,high school or below,personal auto,four-door car,4196,18052,111,0.0,699
537,northeast,f,high school or below,personal auto,four-door car,6064,37707,86,0.0,545
539,northeast,m,doctor,personal auto,suv,8971,12829,118,0.0,328
540,northeast,f,master,personal auto,two-door car,5923,92163,73,0.0,67
542,east,f,bachelor,corporate auto,four-door car,8710,41546,111,0.0,121
543,central,m,college,personal auto,suv,13309,37707,127,0.0,610
544,west,m,high school or below,special auto,four-door car,4529,70340,113,0.0,542
545,northeast,f,high school or below,personal auto,four-door car,2792,37707,74,0.0,533
546,east,m,high school or below,personal auto,four-door car,4434,34549,111,0.0,126
547,central,m,college,personal auto,four-door car,7996,93459,99,0.0,655
549,west,f,bachelor,corporate auto,four-door car,5697,27048,72,0.0,346
550,northeast,f,college,personal auto,suv,9217,73259,115,0.0,673
551,northeast,f,college,corporate auto,suv,10209,35482,129,0.0,619
555,central,m,high school or below,personal auto,two-door car,5529,16042,73,0.0,350
558,west,f,master,corporate auto,suv,8666,41163,108,0.0,232
561,east,f,college,corporate auto,suv,8861,90125,110,0.0,129
563,central,m,college,personal auto,four-door car,3543,35695,90,0.0,432
564,west,m,master,personal auto,four-door car,3490,90985,87,0.0,78
565,west,f,college,corporate auto,sports car,3683,37707,101,0.0,564
566,west,m,college,personal auto,sports car,5990,66839,154,0.0,739
567,west,f,high school or below,personal auto,suv,12501,37707,165,0.0,792
568,northeast,f,bachelor,corporate auto,suv,8609,79090,107,0.0,289
569,northeast,m,bachelor,personal auto,two-door car,2497,24825,64,0.0,156
570,west,m,college,personal auto,four-door car,7019,26806,63,0.0,302
571,northeast,f,college,personal auto,two-door car,5388,56835,67,0.0,327
572,northeast,f,bachelor,special auto,two-door car,6166,37707,88,0.0,654
573,west,m,bachelor,personal auto,four-door car,2730,46135,69,0.0,104
574,central,f,bachelor,personal auto,four-door car,5162,37707,73,0.0,810
575,northeast,f,high school or below,personal auto,two-door car,7937,22862,67,0.0,322
577,northeast,m,bachelor,personal auto,two-door car,2633,95854,65,0.0,312
580,northeast,f,master,personal auto,four-door car,4981,53265,62,0.0,238
582,east,m,master,personal auto,two-door car,10641,50450,90,0.0,136
584,central,m,high school or below,personal auto,sports car,9049,37707,119,0.0,571
585,west,m,bachelor,personal auto,four-door car,5548,67798,69,0.0,331
586,northeast,m,bachelor,personal auto,suv,8313,21442,118,0.0,566
589,central,m,high school or below,personal auto,sports car,5296,50200,135,0.0,637
591,west,f,high school or below,personal auto,four-door car,3732,37707,96,0.0,461
593,northeast,f,high school or below,personal auto,suv,4017,37707,111,0.0,799
594,east,m,doctor,corporate auto,two-door car,4931,70412,61,0.0,136
595,central,m,doctor,personal auto,four-door car,2491,36631,62,0.0,68
596,northeast,f,college,personal auto,four-door car,2909,35895,73,0.0,313
598,northeast,m,college,personal auto,four-door car,8342,37707,118,0.0,566
