state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
90,northeast,u,college,13171,21513,119,1.0,personal auto,two-door car,680
91,east,f,college,15950,37707,87,1.0,personal auto,two-door car,46
92,northeast,u,bachelor,2528,80744,63,0.0,corporate auto,four-door car,12
93,northeast,u,bachelor,2672,52822,67,0.0,corporate auto,two-door car,351
94,west,u,high school or below,5313,37707,77,1.0,personal auto,four-door car,863
95,northeast,u,bachelor,20946,69738,74,1.0,personal auto,four-door car,492
96,central,u,master,8375,17780,109,0.0,personal auto,suv,133
97,west,u,bachelor,4802,18107,62,0.0,personal auto,four-door car,298
98,central,u,bachelor,5746,57740,74,3.0,personal auto,four-door car,270
99,northeast,u,college,6066,32627,76,0.0,personal auto,two-door car,380
100,west,u,college,8002,37707,107,0.0,personal auto,suv,514
101,west,u,college,2394,37707,70,0.0,personal auto,four-door car,425
102,northeast,u,bachelor,4763,65795,62,1.0,corporate auto,two-door car,49
103,west,u,college,4330,60475,107,0.0,personal auto,four-door car,514
104,west,u,high school or below,9403,37707,130,0.0,personal auto,suv,936
105,northeast,u,bachelor,6967,41837,88,0.0,personal auto,four-door car,142
106,west,u,bachelor,7694,32303,65,0.0,personal auto,four-door car,45
107,northeast,u,high school or below,8718,37707,117,1.0,personal auto,suv,562
108,west,u,bachelor,5929,40531,74,0.0,personal auto,two-door car,31
109,northeast,u,college,2453,79898,62,1.0,corporate auto,four-door car,272
110,west,u,college,6702,56398,85,0.0,personal auto,four-door car,408
111,east,m,high school or below,4997,71600,63,0.0,personal auto,two-door car,46
112,central,u,college,8493,27804,109,0.0,personal auto,suv,785
113,northeast,u,bachelor,7713,45506,66,2.0,personal auto,four-door car,317
114,east,f,master,5186,99428,6464,1.0,personal auto,four-door car,48
115,west,u,high school or below,7290,37707,102,1.0,corporate auto,suv,490
116,northeast,u,high school or below,4773,20993,133,0.0,personal auto,suv,638
117,central,u,high school or below,6806,37839,86,0.0,personal auto,two-door car,466
118,west,u,bachelor,2470,92711,62,0.0,personal auto,two-door car,368
119,west,u,college,3104,74665,78,2.0,corporate auto,four-door car,237
120,east,f,college,10485,61108,89,0.0,personal auto,four-door car,49
121,west,u,bachelor,8903,46833,112,0.0,personal auto,sports car,64
122,northeast,u,high school or below,5499,88768,68,0.0,personal auto,two-door car,326
123,west,u,high school or below,15024,28262,192,0.0,personal auto,luxury suv,922
124,central,u,bachelor,2509,33555,63,0.0,personal auto,four-door car,102
125,northeast,u,college,31222,42780,113,1.0,personal auto,four-door car,542
126,northeast,u,master,3134,58850,78,0.0,personal auto,four-door car,144
127,central,u,college,3837,21880,97,0.0,special auto,four-door car,424
128,northeast,u,college,11790,25251,66,0.0,personal auto,four-door car,317
129,east,f,high school or below,2830,25317,71,0.0,personal auto,two-door car,50
130,central,u,high school or below,4306,24188,109,0.0,personal auto,sports car,523
131,central,u,bachelor,5974,41611,74,0.0,special auto,four-door car,114
132,northeast,u,bachelor,5670,28406,72,1.0,personal auto,four-door car,193
133,central,u,college,4732,69833,118,0.0,personal auto,four-door car,829
134,central,u,high school or below,8026,37707,74,0.0,corporate auto,four-door car,533
135,central,u,high school or below,4023,37707,117,0.0,personal auto,suv,975
136,northeast,u,high school or below,9618,80536,119,0.0,special auto,sports car,54
137,east,f,bachelor,7256,88891,89,0.0,personal auto,four-door car,51
138,northeast,u,college,9553,97732,79,0.0,personal auto,four-door car,290
139,central,f,bachelor,10389,61222,89,0.0,special auto,four-door car,393
140,northeast,m,college,2470,37707,74,0.0,personal auto,two-door car,721
141,central,m,master,5619,50335,140,0.0,personal auto,suv,457
142,west,f,high school or below,9047,37707,127,0.0,personal auto,sports car,1088
143,east,f,doctor,2687,82210,68,4.0,personal auto,four-door car,52
144,northeast,f,high school or below,3732,37707,96,0.0,personal auto,four-door car,461
145,central,m,bachelor,3661,64495,92,0.0,corporate auto,four-door car,252
146,west,f,college,7929,37707,72,0.0,corporate auto,four-door car,346
147,central,f,bachelor,5012,28859,67,3.0,corporate auto,two-door car,322
148,central,f,high school or below,7988,77330,99,0.0,personal auto,four-door car,99
149,northeast,m,college,3885,37707,105,0.0,corporate auto,four-door car,504
150,east,f,high school or below,9358,33060,117,0.0,personal auto,four-door car,57
151,east,m,master,2541,42557,65,0.0,personal auto,four-door car,58
152,central,m,high school or below,4885,26372,126,0.0,personal auto,suv,605
153,central,f,bachelor,9753,17514,127,0.0,personal auto,suv,8
154,west,f,bachelor,2946,89270,74,0.0,personal auto,four-door car,317
155,west,m,high school or below,2581,29757,65,0.0,personal auto,four-door car,312
156,northeast,m,college,3517,51814,92,0.0,personal auto,four-door car,56
157,northeast,f,bachelor,9743,24028,82,0.0,personal auto,four-door car,394
158,central,m,college,3874,28142,105,0.0,personal auto,sports car,702
159,central,f,bachelor,7649,52705,64,1.0,personal auto,two-door car,129
160,west,m,high school or below,2288,37707,63,0.0,corporate auto,two-door car,679
161,east,f,high school or below,8256,54040,103,0.0,personal auto,suv,60
162,west,f,college,8715,37707,118,0.0,personal auto,suv,566
163,east,f,doctor,6819,22492,85,0.0,personal auto,two-door car,62
164,west,m,bachelor,7416,37707,77,2.0,personal auto,four-door car,554
165,northeast,m,master,7771,21876,68,0.0,personal auto,four-door car,465
166,west,f,bachelor,6968,37707,69,1.0,personal auto,four-door car,497
167,west,f,high school or below,4250,37707,61,1.0,personal auto,four-door car,293
168,northeast,f,high school or below,19777,70699,82,0.0,personal auto,four-door car,257
169,west,f,high school or below,21343,37707,74,1.0,personal auto,four-door car,355
170,west,m,college,2413,27501,63,0.0,personal auto,four-door car,542
171,northeast,f,doctor,15364,15897,101,0.0,personal auto,four-door car,303
172,central,f,college,8457,25141,73,1.0,personal auto,four-door car,25
173,central,f,college,2190,37707,61,3.0,personal auto,four-door car,293
174,west,m,high school or below,5780,51066,74,0.0,personal auto,four-door car,788
175,west,f,bachelor,4640,28358,117,0.0,personal auto,sports car,84
176,east,f,doctor,3824,62530,95,0.0,personal auto,four-door car,62
177,central,f,bachelor,5968,90972,74,0.0,personal auto,two-door car,233
178,east,f,bachelor,8590,63110,72,0.0,personal auto,four-door car,68
179,west,f,bachelor,4077,29549,104,0.0,personal auto,sports car,710
180,west,f,bachelor,12253,37707,115,1.0,personal auto,four-door car,552
181,central,f,bachelor,16936,39411,217,2.0,personal auto,luxury car,1123
182,northeast,m,high school or below,4892,21709,62,0.0,personal auto,four-door car,408
183,central,m,bachelor,9942,67890,85,0.0,personal auto,four-door car,408
184,west,m,bachelor,3736,37707,110,0.0,personal auto,suv,792
185,west,f,high school or below,13118,84311,111,4.0,personal auto,suv,533
186,west,f,college,4575,99316,114,0.0,corporate auto,suv,754
187,central,f,bachelor,5470,54507,138,0.0,personal auto,suv,703
188,west,f,bachelor,2979,64586,76,0.0,personal auto,four-door car,207
189,northeast,m,college,6411,61709,82,2.0,personal auto,four-door car,275
190,west,m,master,4479,94656,111,1.0,special auto,suv,460
191,west,f,high school or below,2384,37707,69,0.0,special auto,two-door car,497
192,west,m,bachelor,2764,61085,70,1.0,personal auto,two-door car,336
193,northeast,f,bachelor,7920,89284,67,3.0,personal auto,two-door car,322
194,central,f,high school or below,6889,37707,63,0.0,personal auto,four-door car,302
195,east,f,bachelor,3274,31686,81,0.0,personal auto,four-door car,431
196,northeast,m,high school or below,9952,56855,255,0.0,corporate auto,luxury suv,1836
197,northeast,m,bachelor,2522,53703,67,2.0,special auto,four-door car,68
198,east,f,high school or below,23706,37707,96,1.0,personal auto,two-door car,844
199,west,m,college,6047,20396,76,1.0,personal auto,four-door car,365
200,west,f,master,11140,27679,150,0.0,personal auto,suv,722
201,central,f,bachelor,4334,23904,123,3.0,personal auto,suv,590
202,central,f,high school or below,2800,65351,69,0.0,corporate auto,four-door car,481
203,west,m,college,7923,37707,113,0.0,personal auto,suv,1124
204,west,m,high school or below,3688,37707,63,3.0,personal auto,four-door car,670
205,west,m,college,12067,37707,116,0.0,personal auto,suv,1284
206,west,f,college,2925,64459,72,0.0,personal auto,four-door car,240
207,west,m,college,15014,32961,190,0.0,corporate auto,suv,912
208,northeast,f,high school or below,9277,71416,116,0.0,corporate auto,suv,557
209,east,f,bachelor,6274,68964,78,0.0,personal auto,four-door car,115
210,west,m,high school or below,3887,78108,98,0.0,personal auto,two-door car,470
211,west,m,college,4386,10621,67,0.0,special auto,four-door car,322
212,east,m,college,11365,84910,95,0.0,corporate auto,two-door car,383
213,west,f,high school or below,5611,77493,70,0.0,special auto,four-door car,308
214,central,m,college,2913,81097,74,0.0,personal auto,four-door car,355
215,northeast,f,college,6916,96610,85,0.0,corporate auto,four-door car,520
216,northeast,m,college,6263,30110,159,0.0,corporate auto,sports car,466
217,northeast,f,high school or below,6503,22081,84,0.0,special auto,two-door car,452
218,east,f,high school or below,8007,37707,112,0.0,personal auto,sports car,538
219,west,m,college,2930,98473,72,0.0,personal auto,four-door car,346
220,northeast,f,bachelor,5970,97431,74,0.0,personal auto,four-door car,355
221,west,m,bachelor,5473,93870,69,0.0,personal auto,four-door car,331
222,central,m,high school or below,5645,50366,72,0.0,personal auto,four-door car,429
223,east,m,high school or below,6369,34498,83,0.0,personal auto,two-door car,398
224,northeast,f,college,11834,16552,103,0.0,personal auto,suv,494
225,northeast,f,college,6121,26787,77,0.0,personal auto,four-door car,370
226,central,m,college,5159,37707,74,0.0,personal auto,two-door car,832
227,central,f,high school or below,2515,43860,65,0.0,corporate auto,four-door car,156
228,central,m,high school or below,8669,21474,114,2.0,corporate auto,suv,373
229,west,m,bachelor,4961,18174,66,0.0,corporate auto,four-door car,396
230,central,f,bachelor,5504,37707,73,0.0,corporate auto,four-door car,350
231,central,m,college,7507,60920,64,0.0,personal auto,two-door car,231
232,central,m,high school or below,32270,41520,90,0.0,personal auto,four-door car,290
233,northeast,f,bachelor,5657,37707,152,0.0,personal auto,suv,730
234,central,m,high school or below,5062,37707,68,0.0,personal auto,two-door car,326
235,west,m,bachelor,5913,72208,73,0.0,personal auto,two-door car,350
236,west,f,bachelor,15182,53863,63,0.0,personal auto,four-door car,106
237,east,m,college,10747,66446,136,0.0,corporate auto,suv,639
238,east,m,college,2051,37707,61,0.0,personal auto,four-door car,293
239,east,f,bachelor,2465,64997,63,1.0,personal auto,four-door car,383
240,central,f,high school or below,5343,64460,66,0.0,corporate auto,two-door car,317
241,central,f,college,8120,46618,67,0.0,personal auto,four-door car,99
242,northeast,f,college,4605,37707,64,0.0,corporate auto,four-door car,307
243,west,m,college,6409,49988,84,5.0,personal auto,two-door car,567
244,west,f,college,2377,37707,91,5.0,personal auto,two-door car,437
245,west,m,bachelor,3211,16269,86,0.0,corporate auto,two-door car,413
246,central,f,bachelor,5095,72006,64,0.0,personal auto,four-door car,307
247,central,f,high school or below,25755,37707,81,2.0,personal auto,four-door car,389
248,northeast,m,bachelor,8672,37707,245,0.0,corporate auto,luxury suv,2345
249,west,m,master,8045,44320,67,0.0,personal auto,four-door car,322
250,central,f,high school or below,4002,19782,108,0.0,personal auto,two-door car,773
251,central,f,bachelor,16706,63933,70,0.0,personal auto,two-door car,425
252,central,m,doctor,8544,28224,109,0.0,personal auto,suv,523
253,east,f,college,7805,21073,106,1.0,personal auto,suv,509
254,northeast,m,bachelor,6113,63243,77,0.0,personal auto,four-door car,364
255,central,m,high school or below,4773,20993,133,0.0,personal auto,suv,638
256,northeast,f,bachelor,10979,94827,135,0.0,personal auto,suv,355
257,west,f,master,5004,39161,63,1.0,personal auto,two-door car,284
258,east,m,bachelor,13223,37534,84,2.0,personal auto,four-door car,403
259,northeast,f,bachelor,2623,80210,65,0.0,corporate auto,four-door car,21
260,west,m,bachelor,17840,37707,62,0.0,personal auto,four-door car,385
261,west,f,college,5106,30110,64,0.0,personal auto,four-door car,140
262,central,f,college,17931,21708,68,0.0,personal auto,four-door car,326
263,central,m,high school or below,5457,94731,67,0.0,personal auto,four-door car,322
264,west,m,bachelor,6564,32375,83,0.0,personal auto,four-door car,398
265,northeast,m,college,4813,16531,63,0.0,corporate auto,four-door car,103
266,central,f,master,29328,32006,94,0.0,corporate auto,four-door car,57
267,central,f,bachelor,5774,81676,72,0.0,personal auto,two-door car,463
268,west,m,college,6847,71038,86,0.0,corporate auto,four-door car,205
269,central,f,high school or below,3595,37707,103,0.0,corporate auto,sports car,742
270,central,f,master,22856,20832,65,0.0,personal auto,two-door car,56
271,east,m,high school or below,7859,37707,113,0.0,personal auto,suv,814
272,northeast,m,high school or below,4116,52405,103,0.0,personal auto,four-door car,494
273,central,f,high school or below,5030,37707,133,0.0,personal auto,sports car,796
274,east,f,bachelor,4821,26583,1005,4.0,personal auto,suv,614
275,northeast,m,master,5004,25486,65,0.0,special auto,two-door car,72
276,central,m,college,8630,24065,111,0.0,corporate auto,four-door car,533
277,central,f,high school or below,9322,70435,116,0.0,personal auto,four-door car,68
278,west,m,college,16728,37707,76,2.0,personal auto,two-door car,403
279,northeast,f,high school or below,3653,39679,92,0.0,personal auto,two-door car,641
280,central,m,college,6159,37707,89,0.0,personal auto,four-door car,342
281,west,m,bachelor,4376,37707,69,4.0,personal auto,two-door car,331
282,central,m,high school or below,5569,53565,71,1.0,personal auto,four-door car,341
283,east,m,bachelor,2577,37574,66,1.0,personal auto,two-door car,412
284,east,m,bachelor,8347,48259,108,0.0,personal auto,two-door car,74
285,central,f,high school or below,6324,78532,78,0.0,personal auto,four-door car,374
286,central,f,bachelor,5973,96163,73,0.0,corporate auto,four-door car,350
287,west,m,bachelor,4707,37707,72,0.0,personal auto,four-door car,346
288,west,m,high school or below,8093,37707,114,1.0,personal auto,sports car,722
289,east,m,college,5036,72672,63,0.0,personal auto,four-door car,259
290,northeast,f,bachelor,9028,99002,112,1.0,personal auto,four-door car,538
291,west,m,high school or below,7289,79494,91,0.0,personal auto,four-door car,396
292,northeast,m,master,18042,35704,225,0.0,personal auto,luxury car,358
293,central,f,bachelor,4992,37707,71,0.0,corporate auto,four-door car,653
294,northeast,f,high school or below,9102,26049,118,0.0,personal auto,two-door car,121
295,central,m,doctor,2540,70125,64,0.0,special auto,four-door car,93
296,west,m,college,12942,52369,110,1.0,personal auto,suv,528
297,east,f,bachelor,2365,37707,66,2.0,special auto,four-door car,160
298,central,m,college,5721,41770,72,0.0,personal auto,four-door car,476
299,northeast,m,high school or below,7036,37707,101,0.0,corporate auto,four-door car,727
300,west,m,college,2637,31911,67,0.0,personal auto,four-door car,322
301,central,m,bachelor,5396,70051,68,0.0,corporate auto,four-door car,42
302,northeast,m,high school or below,8383,19683,117,1.0,personal auto,sports car,562
303,east,f,college,31162,30916,112,0.0,personal auto,suv,200
304,northeast,f,bachelor,2888,37707,80,0.0,personal auto,four-door car,677
305,east,m,college,7426,84302,62,0.0,personal auto,four-door car,77
306,west,m,bachelor,25586,37707,116,0.0,corporate auto,suv,831
307,northeast,m,college,10273,60145,132,0.0,personal auto,suv,580
308,northeast,f,bachelor,4376,63774,111,0.0,personal auto,four-door car,60
309,west,f,bachelor,5319,25134,67,0.0,corporate auto,four-door car,322
310,northeast,m,bachelor,4720,37057,61,1.0,personal auto,four-door car,48
311,northeast,f,high school or below,4428,58577,110,0.0,personal auto,suv,304
312,west,m,high school or below,5879,85857,73,0.0,corporate auto,four-door car,101
313,northeast,f,doctor,9417,70602,116,0.0,personal auto,suv,481
314,northeast,f,master,8288,33816,106,2.0,corporate auto,four-door car,509
315,northeast,m,bachelor,32655,37707,153,0.0,personal auto,suv,1102
316,northeast,f,college,4719,89642,121,4.0,corporate auto,suv,86
317,west,f,bachelor,3903,60068,98,0.0,personal auto,two-door car,470
318,west,f,bachelor,5457,50044,139,0.0,personal auto,suv,667
319,west,f,master,2725,36650,69,1.0,personal auto,four-door car,57
320,central,f,college,4434,50653,110,0.0,corporate auto,suv,263
321,central,f,doctor,5332,68931,66,0.0,personal auto,four-door car,310
322,northeast,m,bachelor,2315,37707,73,1.0,corporate auto,four-door car,350
323,west,f,college,5412,37707,73,0.0,personal auto,four-door car,365
324,west,m,bachelor,9587,39266,80,0.0,personal auto,four-door car,384
325,west,m,college,22104,37707,102,0.0,personal auto,suv,490
326,central,f,high school or below,9765,37707,98,1.0,personal auto,four-door car,706
327,central,f,bachelor,2567,40864,65,0.0,corporate auto,four-door car,10
328,northeast,f,college,2651,39035,68,0.0,personal auto,four-door car,245
329,west,m,bachelor,11264,34923,98,0.0,personal auto,two-door car,639
330,west,m,high school or below,2169,37707,63,0.0,personal auto,four-door car,454
331,west,f,high school or below,8611,37707,111,0.0,corporate auto,suv,533
332,west,f,college,2835,24506,71,0.0,personal auto,two-door car,511
333,northeast,m,high school or below,8930,37707,82,0.0,personal auto,four-door car,555
334,central,f,college,5536,52220,70,1.0,personal auto,four-door car,336
335,central,m,high school or below,2841,37707,74,0.0,personal auto,two-door car,402
336,west,m,college,8083,53554,67,0.0,personal auto,four-door car,327
337,west,m,bachelor,5255,34476,67,1.0,corporate auto,four-door car,5
338,central,f,bachelor,5116,37707,70,0.0,personal auto,four-door car,131
339,west,m,college,3035,68205,76,0.0,personal auto,two-door car,99
340,west,f,high school or below,8025,37707,119,1.0,personal auto,suv,857
341,west,m,high school or below,18211,53690,154,0.0,personal auto,suv,739
342,northeast,m,high school or below,5122,37707,72,0.0,personal auto,four-door car,518
343,west,f,high school or below,2150,37707,61,0.0,personal auto,four-door car,293
344,west,f,high school or below,5595,74454,71,0.0,personal auto,four-door car,341
345,central,f,bachelor,7563,37707,73,0.0,personal auto,four-door car,350
346,northeast,m,high school or below,5386,29664,71,0.0,personal auto,four-door car,341
347,east,f,doctor,2678,72450,66,0.0,corporate auto,four-door car,84
348,central,f,bachelor,9423,47272,79,3.0,personal auto,four-door car,65
349,northeast,f,college,3606,21585,92,0.0,corporate auto,four-door car,442
350,west,f,college,7763,23827,106,2.0,personal auto,four-door car,38
351,central,f,college,23445,69906,74,2.0,corporate auto,four-door car,203
352,west,f,high school or below,2558,37707,72,0.0,corporate auto,four-door car,346
353,east,m,master,2654,73196,66,1.0,personal auto,four-door car,86
354,east,m,bachelor,2550,72217,6464,0.0,personal auto,four-door car,91
355,west,m,high school or below,2970,46131,74,0.0,personal auto,two-door car,355
356,northeast,f,master,4363,54514,109,3.0,personal auto,suv,286
357,west,f,high school or below,5884,37707,161,0.0,personal auto,suv,1159
358,central,f,college,5272,96668,66,0.0,personal auto,four-door car,317
359,west,m,doctor,5510,78879,69,1.0,personal auto,four-door car,467
360,central,m,college,16314,37707,69,0.0,personal auto,four-door car,331
361,central,f,bachelor,5678,37707,76,0.0,personal auto,four-door car,365
362,west,f,bachelor,12101,37707,112,0.0,personal auto,sports car,1252
363,northeast,m,bachelor,2454,29735,69,0.0,personal auto,four-door car,331
364,west,m,high school or below,5076,23082,65,0.0,special auto,four-door car,312
365,central,m,bachelor,3215,53984,80,0.0,corporate auto,four-door car,421
366,west,f,college,12275,52135,156,0.0,personal auto,suv,431
367,west,f,college,2722,17576,71,0.0,corporate auto,four-door car,399
368,northeast,f,bachelor,2457,29486,62,0.0,personal auto,four-door car,8
369,northeast,f,master,3555,58557,88,0.0,corporate auto,four-door car,56
370,west,m,bachelor,4930,25632,63,0.0,personal auto,two-door car,351
371,west,f,high school or below,8036,37707,112,0.0,personal auto,sports car,806
372,central,m,bachelor,4277,18768,68,3.0,corporate auto,four-door car,647
373,west,f,bachelor,33473,33190,106,0.0,personal auto,suv,509
374,northeast,f,master,5961,47945,74,0.0,personal auto,two-door car,128
375,central,m,college,44795,58778,126,0.0,special auto,suv,302
376,west,f,high school or below,3832,15192,100,0.0,personal auto,suv,480
377,west,f,bachelor,6838,51859,171,0.0,personal auto,suv,1003
378,central,f,high school or below,5285,23422,72,0.0,personal auto,two-door car,518
379,west,f,college,3097,21604,79,0.0,corporate auto,four-door car,379
380,central,m,college,3590,79298,90,0.0,personal auto,four-door car,244
381,central,f,bachelor,2582,76731,64,0.0,special auto,four-door car,201
382,east,m,college,3404,38460,88,1.0,personal auto,four-door car,92
383,central,f,college,13576,48534,115,1.0,personal auto,suv,552
384,east,m,doctor,3436,30817,88,0.0,corporate auto,four-door car,92
385,northeast,f,college,28686,48412,104,0.0,personal auto,suv,707
386,east,m,bachelor,4503,68798,114,0.0,personal auto,suv,93
387,northeast,m,bachelor,6183,23712,85,0.0,personal auto,four-door car,376
388,west,m,college,3874,28142,105,0.0,personal auto,sports car,702
389,west,f,master,18929,72196,68,0.0,personal auto,four-door car,152
390,west,m,master,5553,68197,69,0.0,personal auto,four-door car,177
391,west,m,bachelor,5011,75248,63,0.0,corporate auto,four-door car,104
392,west,f,college,10442,37707,98,0.0,personal auto,four-door car,942
393,central,m,bachelor,2200,37707,65,1.0,personal auto,two-door car,468
394,east,f,master,5123,89879,63,0.0,personal auto,two-door car,94
395,northeast,m,high school or below,7484,46998,96,0.0,corporate auto,four-door car,461
396,northeast,m,bachelor,2613,57099,67,0.0,personal auto,two-door car,68
397,central,f,bachelor,9081,33897,114,0.0,corporate auto,suv,540
398,central,f,high school or below,13771,59207,116,0.0,personal auto,four-door car,557
399,northeast,m,high school or below,2877,40171,73,0.0,personal auto,four-door car,350
400,east,m,doctor,5409,80192,67,0.0,personal auto,four-door car,95
401,east,m,high school or below,6770,74422,85,1.0,personal auto,four-door car,95
402,northeast,m,college,24144,37707,87,0.0,special auto,four-door car,626
403,central,f,college,3538,37707,67,5.0,personal auto,four-door car,322
404,central,f,bachelor,29091,34226,244,0.0,personal auto,luxury suv,494
